============================================================
Quench simulation started: 2026-07-03T11:25:36.815
N_sites = 200, T_max = 10.0, dt = 0.05, bond_dim = 1500
Pre-quench parameters: v=1.0, w=1.0, Δ=0.0, V=0.5
Post-quench parameters: v=1.0, w=1.0, Δ=0.0, V=1.0
============================================================
Preparing interacting ground state (t < 0)...
Initial Ground State Energy: -162.59723088758437 (DMRG took 76.05 seconds)
Initial max bond dimension: 166
Constructing TEBD gates for quench...
Starting time evolution...
t = 3.05, S_EE = 1.1921, F = 0.2906, χ = 312 / 1500, step_time = 7.6232 s, elapsed_time = 396.6717 s, estimated_remaining_time = 889.3124 s
t = 3.1, S_EE = 1.1935, F = 0.2905, χ = 320 / 1500, step_time = 8.5112 s, elapsed_time = 413.392 s, estimated_remaining_time = 905.5253 s
t = 3.15, S_EE = 1.1948, F = 0.2904, χ = 328 / 1500, step_time = 8.1462 s, elapsed_time = 429.3726 s, estimated_remaining_time = 919.1257 s
t = 3.2, S_EE = 1.1961, F = 0.2903, χ = 336 / 1500, step_time = 8.6741 s, elapsed_time = 446.1978 s, estimated_remaining_time = 933.5831 s
t = 3.25, S_EE = 1.1974, F = 0.2903, χ = 345 / 1500, step_time = 8.3036 s, elapsed_time = 461.7917 s, estimated_remaining_time = 944.5739 s
t = 3.3, S_EE = 1.1988, F = 0.2902, χ = 354 / 1500, step_time = 9.4454 s, elapsed_time = 479.1605 s, estimated_remaining_time = 958.321 s
t = 3.35, S_EE = 1.2001, F = 0.2901, χ = 363 / 1500, step_time = 11.3375 s, elapsed_time = 499.0709 s, estimated_remaining_time = 976.124 s
t = 3.4, S_EE = 1.2014, F = 0.2901, χ = 372 / 1500, step_time = 9.9654 s, elapsed_time = 518.3493 s, estimated_remaining_time = 991.6247 s
t = 3.45, S_EE = 1.2028, F = 0.29, χ = 382 / 1500, step_time = 10.4039 s, elapsed_time = 538.4325 s, estimated_remaining_time = 1007.638 s
t = 3.5, S_EE = 1.2041, F = 0.29, χ = 392 / 1500, step_time = 10.1826 s, elapsed_time = 558.5031 s, estimated_remaining_time = 1022.6113 s
t = 3.55, S_EE = 1.2054, F = 0.29, χ = 402 / 1500, step_time = 10.6304 s, elapsed_time = 579.3553 s, estimated_remaining_time = 1038.0116 s
t = 3.6, S_EE = 1.2068, F = 0.2899, χ = 412 / 1500, step_time = 11.1134 s, elapsed_time = 601.3534 s, estimated_remaining_time = 1054.4279 s
t = 3.65, S_EE = 1.2081, F = 0.2899, χ = 423 / 1500, step_time = 14.3216 s, elapsed_time = 628.788 s, estimated_remaining_time = 1079.1362 s
t = 3.7, S_EE = 1.2095, F = 0.2898, χ = 433 / 1500, step_time = 13.0381 s, elapsed_time = 653.5181 s, estimated_remaining_time = 1097.9104 s
t = 3.75, S_EE = 1.2108, F = 0.2898, χ = 444 / 1500, step_time = 12.9151 s, elapsed_time = 678.2093 s, estimated_remaining_time = 1115.4758 s
t = 3.8, S_EE = 1.2122, F = 0.2897, χ = 454 / 1500, step_time = 13.939 s, elapsed_time = 705.0064 s, estimated_remaining_time = 1135.335 s
t = 3.85, S_EE = 1.2136, F = 0.2897, χ = 465 / 1500, step_time = 15.3187 s, elapsed_time = 734.2069 s, estimated_remaining_time = 1157.7878 s
t = 3.9, S_EE = 1.2149, F = 0.2896, χ = 476 / 1500, step_time = 14.5088 s, elapsed_time = 762.9193 s, estimated_remaining_time = 1178.1792 s
t = 3.95, S_EE = 1.2163, F = 0.2896, χ = 488 / 1500, step_time = 15.4691 s, elapsed_time = 793.5603 s, estimated_remaining_time = 1200.26 s
t = 4.0, S_EE = 1.2177, F = 0.2895, χ = 500 / 1500, step_time = 17.6389 s, elapsed_time = 826.5445 s, estimated_remaining_time = 1224.5104 s
